T, e4, e10, e16, e64
    467,     nan,     nan,     nan,   0.318
    470,     nan,     nan,     nan,   0.316
    473,     nan,     nan,     nan,   0.315
    476,     nan,     nan,     nan,   0.313
    479,     nan,     nan,     nan,   0.311
    482,     nan,     nan,     nan,    0.31
    485,     nan,     nan,     nan,   0.308
    488,     nan,     nan,     nan,   0.307
    491,     nan,     nan,     nan,   0.305
    494,     nan,     nan,     nan,   0.304
    497,     nan,     nan,     nan,   0.303
